Step description                                   ,Estimated time (minutes),Actual time (minutes)
1. Review theory                                   ,15                      ,15
2. Setup Backend                                   ,120                     ,15
3. Create a Todo                                   ,300                     ,300
4. Todo list                                       ,30                      ,30
5. Edit a Todo                                     ,180                     ,180
